t,P,D,u,lambda
13.399999999999968,1.0308392777183488,50.0,0.6572498604330946,0.43253468844962667
13.499999999999968,1.0284048010004776,50.0,0.6015011396699056,0.4333315566549037
13.599999999999968,1.0253297523186935,50.0,0.5502903474803801,0.43505912128732266
13.699999999999967,1.0216750171679003,50.0,0.503308821614798,0.4376517665607037
13.799999999999967,1.0174970860192616,50.0,0.46025648002583075,0.44105290894774435
13.899999999999967,1.01284822401033,50.0,0.4208447274599571,0.4452137425034372
13.999999999999966,1.007776668836248,50.0,0.3847983994967593,0.45009217684445585
14.099999999999966,1.0023268460620247,50.0,0.35185697090986484,0.45565193759046685
14.199999999999966,0.9965395936781536,50.0,0.3217752049984965,0.46186180346731515
14.299999999999965,0.9904523897495193,50.0,0.2943233819369398,0.4686949581978644
14.399999999999965,0.9840995785916115,50.0,0.269287214277101,0.4761284387243596
14.499999999999964,0.9775125921472575,50.0,0.2464675344264497,0.4841426642310149
14.599999999999964,0.9707201642070016,50.0,0.22567982069288922,0.49272103290720165
14.699999999999964,0.9637485358754527,50.0,0.206753614222786,0.5018495754597093
14.799999999999963,0.9566216512804261,50.0,0.1895318680298805,0.5115166560971703
14.899999999999963,0.9493613429881229,50.0,0.17387026070683567,0.5217127131167183
14.999999999999963,0.9419875069556545,50.0,0.15963650088030576,0.5324300323612168
15.099999999999962,0.934518267146639,50.0,0.146709643705621,0.5436625477154974
15.199999999999962,0.9269701301778184,50.0,0.13497943751567879,0.5554056634928294
15.299999999999962,0.9193581305743946,50.0,0.12434571708816272,0.5676560940378234
15.399999999999961,0.9116959674089071,50.0,0.11471785997931913,0.5804117161345448
15.499999999999961,0.9039961333051119,50.0,0.10601432430692463,0.5936714298352901
15.59999999999996,0.8962700370322033,50.0,0.09816229088566122,0.6074350230655008
15.69999999999996,0.8885281212341359,50.0,0.09109744088021315,0.6217030347210892
15.79999999999996,0.8807799772910763,50.0,0.08476391418795255,0.6364766097959159
15.89999999999996,0.8730344599861712,50.0,0.07911451721696151,0.6517573380856423
15.99999999999996,0.8652998057023178,50.0,0.07411128812591443,0.6675470647378927
16.09999999999996,0.8575837595626933,50.0,0.06972659506216217,0.6838476555277492
16.19999999999996,0.8498937197269508,50.0,0.06594506169590875,0.7006606907313253
16.29999999999996,0.8422369118434674,50.0,0.06276683063786215,0.7179870460406039
16.399999999999963,0.8346206151548586,50.0,0.060213085369340634,0.7358262916428122
16.499999999999964,0.8270524774696782,50.0,0.05833556579135785,0.7541757902310838
16.599999999999966,0.8195409867164863,50.0,0.05723352047805974,0.7730292773517453
16.699999999999967,0.8120962294504875,50.0,0.057085355235856866,0.7923745082922973
16.79999999999997,0.8047312043289857,50.0,0.05821143172194097,0.8121891197431886
16.89999999999997,0.7974642864784918,50.0,0.06120871142944214,0.8324328196499678
16.99999999999997,0.7903243011726349,50.0,0.06726928948276781,0.8530313062289474
17.099999999999973,0.7833622315015443,50.0,0.07903546276446291,0.8738392734527636
17.199999999999974,0.7766825054125165,50.0,0.10330471534966316,0.8945419913958897
17.299999999999976,0.7705444504704853,50.0,0.161584339552179,0.9143377730618149
17.399999999999977,0.7657783721170209,50.0,0.3409341535582571,0.9306434832806466
17.49999999999998,0.7655922743494216,50.0,0.9730637230023841,0.9335457322066113
17.59999999999998,0.7769460339437435,50.0,2.0516872012160965,0.9023619923956121
17.69999999999998,0.7989910295118254,50.0,2.6380075237921883,0.8424149729654377
17.799999999999983,0.8251953543788559,50.0,2.8103497940148103,0.7754448825539891
17.899999999999984,0.852026849753662,50.0,2.8058449739195273,0.7117592226808633
17.999999999999986,0.8779803331405853,50.0,2.72200973960913,0.6545872729760914
18.099999999999987,0.9023640307806314,50.0,2.5994538992344407,0.6045514822381075
18.19999999999999,0.924847054658807,50.0,2.4577371704126834,0.5613252174919131
18.29999999999999,0.9452824903160314,50.0,2.3075169681497605,0.5242556383784732
18.39999999999999,0.963627545638811,50.0,2.155119175511879,0.49261459594922336
18.499999999999993,0.979902418806552,50.0,2.004498260935337,0.46570183295645445
18.599999999999994,0.9941667292156737,50.0,1.858184560802386,0.44288468339798975
18.699999999999996,1.0065048777756593,50.0,1.7177924142589351,0.4236093124006247
18.799999999999997,1.0170164144694152,50.0,1.5843180271843584,0.4073992283266559
18.9,1.0258094524979573,50.0,1.458327274979707,0.39384846938988244
19.0,1.0329960609950277,50.0,1.3400810922515727,0.3826130141109776
19.1,1.0386890083314781,50.0,1.229622871036655,0.37340209630026705
19.200000000000003,1.0429994614371503,50.0,1.1268412873014357,0.3659701742445766
19.300000000000004,1.0460353790947703,50.0,1.0315164232106027,0.360109836675754
19.400000000000006,1.0479004172774289,50.0,0.943354078886165,0.3556456975433556
19.500000000000007,1.048693215839727,50.0,0.8620114814272092,0.35242922355500894
19.60000000000001,1.0485069702776402,50.0,0.7871165897359139,0.35033439386945175
19.70000000000001,1.047429216327837,50.0,0.7182825579445529,0.34925407908592737
19.80000000000001,1.0455417725496152,50.0,0.6551185007287832,0.34909703018991917
19.900000000000013,1.0429207988962128,50.0,0.5972374154914427,0.34978537858573333
20.000000000000014,1.0396369389879359,50.0,0.5442619113698026,0.3512525611742348
20.100000000000016,1.0357555212241425,50.0,0.49582824508837514,0.3534415973082928
20.200000000000017,1.0313367996068266,50.0,0.4515890516008028,0.35630365630552485
20.30000000000002,1.0264362196096202,50.0,0.4112150722445307,0.3597968646030971
20.40000000000002,1.0211046979108982,50.0,0.37439611749236257,0.36388531052775014
20.50000000000002,1.0153889075386424,50.0,0.34084145033619323,0.36853821211530396
20.600000000000023,1.0093315621136079,50.0,0.31027973635332196,0.37372921960638017
20.700000000000024,1.002971694552866,50.0,0.28245867502564337,0.37943582934700115
20.800000000000026,0.9963449269059661,50.0,0.2571444020089428,0.3856388900064368
20.900000000000027,0.9894837290172498,50.0,0.23412073235123826,0.39232218544561137
21.00000000000003,0.982417664500385,50.0,0.21318829903938,0.3994720813622322
21.10000000000003,0.9751736231224504,50.0,0.19416362886357547,0.40707722511735983
21.20000000000003,0.967776039162589,50.0,0.17687818776796607,0.4151282900070246
21.300000000000033,0.9602470956643615,50.0,0.16117742008157612,0.4236177567595266
21.400000000000034,0.9526069147653977,50.0,0.1469197998871876,0.4325397262777294
21.500000000000036,0.9448737344819377,50.0,0.13397590796078143,0.4418897586575182
21.600000000000037,0.9370640724646931,50.0,0.12222754394335818,0.4516647343402663
21.70000000000004,0.9291928773385134,50.0,0.11156688048620013,0.4618627339321184
21.80000000000004,0.9212736683015433,50.0,0.10189566387940853,0.4724829337729129
21.90000000000004,0.9133186636980197,50.0,0.09312446400713535,0.48352551478381006
22.000000000000043,0.9053388992992137,50.0,0.08517197527713594,0.4949915824816467
22.100000000000044,0.8973443370348866,50.0,0.07796436938021406,0.5068830963320995
22.200000000000045,0.8893439649178434,50.0,0.07143470030627894,0.5192028068315696
22.300000000000047,0.8813458889012357,50.0,0.06552236196568001,0.5319541988642978
22.40000000000005,0.8733574174066608,50.0,0.06017259905854208,0.5451414399776071
22.50000000000005,0.8653851392658151,50.0,0.05533607256744511,0.5587693322505906
22.60000000000005,0.8574349958355995,50.0,0.05096848255260134,0.5728432663899005
22.700000000000053,0.8495123480844905,50.0,0.047030253040032416,0.5873691765512321
22.800000000000054,0.8416220395187956,50.0,0.043486287119400543,0.6023534941232066
22.900000000000055,0.8337684559398854,50.0,0.04030580560913982,0.6178030982654446
23.000000000000057,0.8259555832278064,50.0,0.0374622910213981,0.6337252602704216
23.10000000000006,0.8181870646831946,50.0,0.03493357223789046,0.6501275776589942
23.20000000000006,0.8104662600149959,50.0,0.032702108262366976,0.6670178920439882
23.30000000000006,0.8027963089911063,50.0,0.03075556916322502,0.6844041817077455
23.400000000000063,0.7951802043593093,50.0,0.029087883639565527,0.7022944146192311
23.500000000000064,0.7876208814488586,50.0,0.027701055883857156,0.7206963384986916
23.600000000000065,0.7801213369914757,50.0,0.02660831508105422,0.7396171679737521
23.700000000000067,0.7726847995178385,50.0,0.02583969874634588,0.7590630973432941
23.800000000000068,0.7653149935266654,50.0,0.025452352329025405,0.7790385040548473
23.90000000000007,0.758016582426378,50.0,0.025550621144512682,0.7995445717861089
24.00000000000007,0.7507959752129508,50.0,0.026328237307718085,0.820576745119036
24.100000000000072,0.7436629394121347,50.0,0.02816578960280035,0.8421196141468992
24.200000000000074,0.736634214684314,50.0,0.03188615593587755,0.8641354599013681
24.300000000000075,0.729742907800728,50.0,0.03954892572596827,0.8865345720303235
24.400000000000077,0.7230686020241542,50.0,0.057604218633611065,0.909080533096035
24.500000000000078,0.7168699354712431,50.0,0.11497375347232919,0.930974984674354
24.60000000000008,0.7125367322201458,50.0,0.43426462537593813,0.9478897728121277
24.70000000000008,0.7195550068805007,50.0,2.0912517695847552,0.9306518627574385
24.800000000000082,0.7474221344224975,50.0,3.2921755734316953,0.8542632190864677
24.900000000000084,0.7830838525980518,50.0,3.561622021880247,0.7640568453842183
25.000000000000085,0.8197046068771866,50.0,3.554691808190268,0.6804878451840722
25.100000000000087,0.855145972464565,50.0,3.4451014605496946,0.6076477527054585
25.200000000000088,0.8885436883238552,50.0,3.2884501098969365,0.5455625736973443
25.30000000000009,0.9194996516664967,50.0,3.10869477065856,0.49315469376559545
25.40000000000009,0.9478368845216247,50.0,2.918480445253393,0.44910614997762105
25.500000000000092,0.9735021207183105,50.0,2.725367061341067,0.4121477778661712
25.600000000000094,0.9965181662542533,50.0,2.5341952279919533,0.38115393050345603
25.700000000000095,1.016956768914044,50.0,2.3481565104524758,0.3551632118582813
25.800000000000097,1.0349214453434117,50.0,2.169353671890238,0.3333703318388186
25.900000000000098,1.0505358433335072,50.0,1.9991311542652406,0.3151077042658684
26.0000000000001,1.0639355290599395,50.0,1.8382888503221149,0.29982478187359696
26.1000000000001,1.0752620682518303,50.0,1.687229838838762,0.28706848741584384
26.200000000000102,1.0846587299174117,50.0,1.5460671135138078,0.2764659905357667
26.300000000000104,1.092267378868661,50.0,1.4147028720584438,0.26771011582778187
26.400000000000105,1.0982262579106297,50.0,1.2928883903310469,0.26054724501652415
26.500000000000107,1.1026684435109129,50.0,1.1802696132000678,0.2547674138490471
26.600000000000108,1.105720813683221,50.0,1.0764219623954867,0.25019626531354827
26.70000000000011,1.1075034053103403,50.0,0.9808768699903252,0.246688537321097
26.80000000000011,1.1081290662692274,50.0,0.8931419006404135,0.24412280136981002
26.900000000000112,1.107703328902729,50.0,0.8127158804188426,0.2423972126320131
27.000000000000114,1.1063244476435903,50.0,0.7391001286375866,0.24142607388329626
27.100000000000115,1.1040835562383984,50.0,0.6718066491402467,0.2411370527225319
27.200000000000117,1.101064909924103,50.0,0.6103639542747789,0.2414689228131058
27.300000000000118,1.0973461857052818,50.0,0.5543210525290009,0.24236972563123338
27.40000000000012,1.0929988200294243,50.0,0.5032500192980461,0.2437952700790727
27.50000000000012,1.0880883680111475,50.0,0.4567474822405233,0.24570790406674817
27.600000000000122,1.0826748721853416,50.0,0.4144352829295767,0.24807550552165852
27.700000000000124,1.07681323178553,50.0,0.3759605210915144,0.2508706508951077
27.800000000000125,1.070553565914104,50.0,0.34099514364327904,0.254069927654177
