t,theta,omega
57.70999999999709,-0.038687628356924596,0.061764216610209505
57.719999999997086,-0.03805143208619499,0.06546402655835494
57.729999999997084,-0.03737857394813552,0.06909600211833036
57.73999999999708,-0.036669749807368104,0.07265665105344249
57.74999999999708,-0.03592569008798697,0.07614255425891375
57.75999999999708,-0.035147159025772486,0.07955036904290488
57.769999999997076,-0.03433495388797132,0.08287683233171397
57.779999999997074,-0.03348990416141669,0.08611876379603514
57.78999999999707,-0.03261287070979351,0.0892730688952203
57.79999999999707,-0.03170474490088338,0.09233674183655155
57.80999999999707,-0.030766447704654067,0.09530686844659933
57.819999999997066,-0.029798928763086818,0.09818062895181312
57.829999999997064,-0.02880316543266329,0.10095530066556672
57.83999999999706,-0.027780161800460963,0.10362826057895977
57.84999999999706,-0.02673094767483274,0.1061969878527601
57.85999999999706,-0.02565657755167196,0.10865906620795951
57.869999999997056,-0.024558129557288987,0.11101218621250626
57.879999999997054,-0.02343670436894938,0.11325414746187377
57.88999999999705,-0.02229342411414659,0.11538286065122393
57.89999999999705,-0.02112943124970398,0.11739634953702725
57.90999999999705,-0.019945887421821882,0.11929275278610933
57.919999999997046,-0.018743972308205105,0.12107032571020408
57.929999999997044,-0.01752488244342493,0.1227274418842094
57.93999999999704,-0.01628983002868713,0.12426259464645917
57.94999999999704,-0.015040041727193735,0.12567439847944736
57.95999999999704,-0.013776757446301363,0.12696159026956538
57.969999999997036,-0.012501229107692623,0.12812303044454165
57.979999999997034,-0.011214719406789574,0.12915770398740398
57.98999999999703,-0.00991850056264937,0.13006472132591854
57.99999999999703,-0.008613853059591977,0.13084331909659572
58.00999999999703,-0.007302064381818263,0.1314928607824914
58.019999999997026,-0.005984427742283806,0.1320128372241721
58.029999999997024,-0.004662240807099307,0.13240286700335463
58.03999999999702,-0.003336804416732759,0.13266269669887365
58.04999999999702,-0.002009421305291188,0.13279220101477454
58.05999999999702,-0.0006813948191611513,0.13279138278047428
58.069999999997016,0.0006459723637130241,0.13266037282307758
58.079999999997014,0.0019713795126358492,0.1323994297120811
58.08999999999701,0.0032935291197777722,0.1320089393768436
58.09999999999701,0.004611128171332931,0.13148941459734387
58.10999999999701,0.005922889412953633,0.1308414943688922
58.119999999997006,0.0072275326082050255,0.13006594314160344
58.129999999997004,0.008523785788792202,0.12916364993558016
58.139999999997,0.009810386495322163,0.12813562733289344
58.149999999997,0.011086083007374615,0.12698301034758608
58.159999999997,0.012349635561668532,0.12570705517505706
58.169999999996996,0.01359981755712561,0.12430913782231791
58.179999999996994,0.01483541674564735,0.1227907526207408
58.18999999999699,0.0160552364074393,0.12115351062304357
58.19999999999699,0.017258096509734068,0.11939913788637964
58.20999999999699,0.01844283484778397,0.11752947364351914
58.219999999996986,0.01960830816701468,0.11554646836422285
58.229999999996984,0.020753393265252745,0.11345218170902163
58.23999999999698,0.021876988073962534,0.11124878037772086
58.24999999999698,0.022978012717451923,0.10893853585505224
58.25999999999698,0.024055410549030695,0.10652382205599381
58.269999999996976,0.02510814916313133,0.10400711287337315
58.279999999996974,0.02613522138242849,0.10139097963045803
58.28999999999697,0.027135646219020912,0.09867808844132414
58.29999999999697,0.028108469808767828,0.09587119748187001
58.30999999999697,0.029052766317900974,0.09297315417442482
58.319999999996966,0.029967638821063215,0.0899868922889669
